REGIAO_ORIGEM,UF,DATE,TMIN,TMAX,PREC
Atlântico Baiano,BA,1964-07-01,19.74245719387107,27.422142481695026,1642.9441494876392
Campo das Vertentes,MG,1964-07-01,14.48662403050591,25.245197099797867,1458.353635900161
Caparaó,ES,1964-07-01,14.453274959471168,23.974708138442622,1780.9848900771722
Ceará,CE,1964-07-01,19.149793412950302,29.357648425632053,1576.6261713817867
Cerrado Mineiro,MG,1964-07-01,16.021239000324382,27.751687991693153,1636.4260607733243
Chapada Diamantina,BA,1964-07-01,15.91530201426226,25.727474389909368,1247.0686271128602
Chapada de Minas,MG,1964-07-01,16.150418015476646,27.40607059112223,1307.9751402722559
Conilon Capixaba,ES,1964-07-01,19.588147781513356,28.34566985236274,1478.1934995298031
Goiás,GO,1964-07-01,16.751355541651744,28.75186145286499,1704.1022669025256
Mantiqueira de Minas,MG,1964-07-01,12.754770297270555,24.553262637211727,1560.035853459285
Marília e Garça,SP,1964-07-01,15.986482217576768,29.02100936041938,1402.4595920138888
Matas de Minas,MG,1964-07-01,15.19023666515217,25.198332419762245,1756.0645444643246
Matas de Rondônia,RO,1964-07-01,19.739680011030558,31.90484489219776,2084.1542055876357
Mato Grosso,MT,1964-07-01,19.575892863327738,31.89102021562497,2188.866523040348
Montanhas de Minas,MG,1964-07-01,15.960046527977276,25.954480501045857,1655.2397396689967
Montanhas do Espírito Santo,ES,1964-07-01,15.758662567138671,24.48708979288737,1842.8457893880209
Média Mogiana,SP,1964-07-01,14.091137429942256,25.722902173581332,1474.1108146335769
Noroeste/Norte do Rio de Janeiro,RJ,1964-07-01,18.107170877577385,27.29230752775941,1628.5368018814281
Norte Pioneiro do Paraná,PR,1964-07-01,14.675841588500544,27.880174880332135,1425.316928295379
Norte e Noroeste de Minas,MG,1964-07-01,17.046627040262575,29.426079953158343,1536.9475758870442
Oeste da Bahia,BA,1964-07-01,16.577363754976243,29.57315415877072,1242.0632032914596
Ourinhos e Avaré,SP,1964-07-01,14.827412051539268,26.9105290853849,1360.0337977255545
